"nomescomp","BAG1501","CAR1301","CAR1302","CAR1303","CCA1302","CCE1302","CGR1401","CGR1402","CGR1403","CGR1901","CGR1902","CGU1401","CGU1402","CGU1403","CGU1404","CMC1401","CMC1402","CMC1403","CMM1401","CMM1402","CMM1403","CSR1301","CSR1302","CSR1303","CSR1905","CSR1906","CSR1907","JAG1401","JAG1402","LAV1401","LAV1402","QUA1401","QUA1402","SAT1401","SAT1402","SAT1404","SAT1405","SAT1406","SLI1401","SLI1402","SLI1403","SLI1404","SLI1405","SPS1402","SPS1403","SPS1405","SPS1406","sp.grupo"
"Chartenu","Characidium.tenue",0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,13,0,32,0,0,2,26,14,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG10"
"Charsten","Charax.stenopterus",0,0,0,0,0,2,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,18,2,14,0,2,0,0,0,0,"FG2"
"Cheiibic","Cheirodon.ibicuhiensis",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG4"
"Cheiinte","Cheirodon.interruptus",0,269,27,0,0,33,0,1,0,18,29,0,3,0,0,8,26,22,94,1238,31,0,0,60,0,0,124,1,1,0,0,12,1,2,0,0,0,0,26,12,32,2,2,0,0,0,1,"FG4"
"Cichdime","Cichlasoma.dimerus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,"FG3"
"Cnesdece","Cnesterodon.decemmaculatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG11"
"Corylong","Corydoras.longipinnis",0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,1,0,5,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,"FG3"
"Corypale","Corydoras.paleatus",0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,29,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,2,0,0,0,0,0,34,0,0,0,0,0,"FG3"
"Corysp","Corydoras.sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"FG3"
"Coryundu","Corydoras.undulatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,12,0,0,0,0,0,"FG3"
"Crenscot1","Crenicichla.cf..scottii",0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG12"
"Crenlepi","Crenicichla.lepidota",0,0,0,0,2,16,7,4,2,8,1,0,0,0,0,1,0,4,0,3,0,8,0,7,20,35,25,1,0,0,26,6,3,5,0,4,0,0,36,18,0,8,2,0,0,4,18,"FG12"
"Crenpunc","Crenicichla.punctata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG12"
"Astyfasc1.2","Crenicichla.scottii",8,0,0,0,0,0,8,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,18,10,0,0,0,0,0,0,15,0,1,0,14,0,123,16,2,0,28,0,22,10,8,0,0,"FG12"
"Cyphsala","Cyphocharax.saladensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38,0,0,2,0,0,0,0,0,"FG9"
"Cyphspil","Cyphocharax.spilotus",0,0,0,0,0,0,0,0,0,4,11,0,0,0,0,0,0,0,2,2,0,2,0,0,11,0,30,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,"FG9"
"Cyphvoga","Cyphocharax.voga",0,0,0,0,0,0,0,0,0,76,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,78,4,4,0,0,0,0,0,"FG9"
"Diapalbu","Diapoma.alburnum",0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG2"
"Diapaleg","Diapoma.alegretensis",0,0,0,0,17,0,116,114,30,0,0,0,0,0,0,0,0,0,0,0,0,44,53,88,0,0,0,0,0,45,24,0,0,0,0,103,0,0,256,174,264,124,116,0,0,0,12,"FG2"
"Diapspec","Diapoma.speculiferum",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG2"
"Diaptero","Diapoma.terofali",0,0,0,0,0,0,1,4,1,14,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,7,0,0,1,0,0,0,0,0,0,0,0,0,94,2,0,0,0,0,0,0,"FG4"
"Diapthau","Diapoma.thauma",0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG2"
"Diapurug","Diapoma.uruguayensis",116,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG2"
"Eigetril","Eigenmannia.trilineata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,"FG7"
"Gymngymn","Gymnogeophagus.gymnogenys",0,34,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG6"
"Gymnlabi","Gymnogeophagus.labiatus",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG6"
"Gymnmeki","Gymnogeophagus.mekinos",7,0,0,0,0,0,58,12,22,96,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,4,8,0,0,0,5,0,0,0,0,2,0,0,52,36,26,22,18,0,0,0,0,"FG6"
"Gymnmeri","Gymnogeophagus.meridionalis",0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,"FG6"
"Gymnpseu","Gymnogeophagus.pseudolabiatus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG6"
"Gymnrhab","Gymnogeophagus.rhabdotus",7,0,0,0,0,0,6,6,1,20,0,0,0,0,0,0,1,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,"FG6"
"Gymnspn","Gymnogeophagus.sp..n.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,26,7,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG6"
"Gymnterr","Gymnogeophagus.terrapurpura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG6"
"Gymncara","Gymnotus.carapo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,"FG7"
"Gymncuia","Gymnotus.cuia",0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,"FG7"
"Hemichlo","Hemiancistrus.chlorostictus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,"FG1"
"Hemifuli","Hemiancistrus.fuliginosus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15,0,0,0,0,0,0,0,0,0,8,0,"FG1"
"Hemipunc","Hemiancistrus.punctulatus",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG1"
"Heptexil","Heptapterus.exilis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,"FG8"
"Heptmust","Heptapterus.mustelinus",65,13,42,55,34,36,35,53,40,10,0,22,56,87,32,70,84,111,22,44,86,170,399,148,2,34,34,60,21,1246,0,3,230,49,178,85,77,67,28,4,156,40,150,0,28,84,33,"FG8"
"Heptsymp","Heptapterus.sympterygium",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG8"
"Heteyata","Heterocheirodon.yatai",0,0,0,0,0,0,0,0,0,12,53,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,"FG2"
"Hisoarma","Hisonotus.armatus",0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG13"
"Hisochar","Hisonotus.charrua",0,0,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,22,2,0,0,0,0,"FG13"
"Hisolaev","Hisonotus.laevior",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,40,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG13"
"Hisonoto","Hisonotus.notopagos",0,0,0,0,0,0,0,0,0,0,0,3,12,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG13"
"Hisoring","Hisonotus.ringueleti",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,"FG13"
"Homoanis","Homodiaetus.anisitsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,"FG14"
"Hoplmala","Hoplias.aff..malabaricus",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,0,0,2,1,2,0,0,0,5,3,2,0,1,0,0,0,2,4,0,2,0,0,1,0,0,"FG15"
"Hopllace","Hoplias.lacerdae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG15"
"Hyphanis","Hyphessobrycon.anisitsi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,60,0,0,0,0,86,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG16"
"Hyphluet","Hyphessobrycon.luetkenii",29,5,12,0,4,6,0,0,0,0,0,0,0,4,0,33,11,232,9,43,0,5,0,0,0,0,0,535,10,0,0,3,16,0,0,6,0,0,0,0,0,16,0,0,0,0,0,"FG16"
"Hyphmeri","Hyphessobrycon.meridionalis",0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,37,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,"FG16"
"Hyphtogo","Hyphessobrycon.togoi",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG16"
"Hyposp","Hypobrycon.sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,"FG2"
"Hypoaspi","Hypostomus.aspilogaster",0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG1"
"Hypocomm","Hypostomus.commersonii",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"FG1"
"Hypourug","Hypostomus.uruguayensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG1"
"Impamish","Imparfinis.mishky",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG10"
"Itugaust","Ituglanis.australis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,"FG8"
"Ituginus","Ituglanis.inusitatus",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG8"
"Laetdors","Laetacara.dorsigera",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG6"
"Macrurug","Macropsobrycon.uruguayanae",0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG2"
"Micrcott","Microglanis.cottoides",0,0,9,0,4,5,0,0,0,0,1,0,0,0,0,0,2,0,3,9,0,0,1,0,0,0,0,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG8"
"Micrmala","Microglanis.malabarbai",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG8"
"Mimaineq","Mimagoniates.inequalis",0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,9,1,93,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG2"
"Moenboni","Moenkhausia.bonita",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG2"
"Moendich","Moenkhausia.dichroura",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG2"
"Odonpequ","Odontostilbe.pequira",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG4"
"Oligjacu","Oligosarcus.jacuiensis",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG15"
"Oligjeny","Oligosarcus.jenynsii",0,0,2,0,0,0,6,0,0,1,0,3,0,0,0,0,2,1,1,1,1,2,0,0,2,0,6,0,4,8,0,2,0,0,0,0,0,0,0,6,0,0,2,2,1,0,1,"FG15"
"Oligolig","Oligosarcus.oligolepis",0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG5"
"Oligrobu","Oligosarcus.robustus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG15"
"Oligsp","Oligosarcus.sp.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG15"
"Otocarno","Otocinclus.arnoldi",0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG13"
"Otocflex","Otocinclus.flexilis",0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"FG13"
"Phalcaud","Phalloceros.caudimaculatus",1,0,1,0,0,31,2,0,0,0,0,1,12,1,0,6,32,221,50,0,525,0,0,0,0,0,0,8,4,17,1,2,0,0,0,0,0,41,2,0,6,6,10,0,0,0,0,"FG11"
